Age,new_mortality,average_mortality_reduction,old_mortality,new_mortality_20_years_future,survival_rate,lx
1,0.003547,NA,0.003547,NA,0.996453,0.996453
2,3.37e-4,NA,3.37e-4,NA,0.999663,0.996117195339
3,2.4e-4,NA,2.4e-4,NA,0.99976,0.9958781272121187
4,1.8e-4,NA,1.8e-4,NA,0.99982,0.9956988691492206
5,1.58e-4,NA,1.58e-4,NA,0.999842,0.995541548727895
6,1.47e-4,NA,1.47e-4,NA,0.999853,0.995395204120232
7,1.38e-4,NA,1.38e-4,NA,0.999862,0.9952578395820634
8,1.29e-4,NA,1.29e-4,NA,0.999871,0.9951294513207573
9,1.26e-4,NA,1.26e-4,NA,0.999874,0.9950040650098909
10,1.25e-4,NA,1.25e-4,NA,0.999875,0.9948796895017646
11,1.37e-4,NA,1.37e-4,NA,0.999863,0.9947433909843029
12,1.45e-4,NA,1.45e-4,NA,0.999855,0.9945991531926102
13,1.61e-4,NA,1.61e-4,NA,0.999839,0.9944390227289461
14,1.81e-4,NA,1.81e-4,NA,0.999819,0.9942590292658322
15,2.17e-4,NA,2.17e-4,NA,0.999783,0.9940432750564815
16,2.63e-4,NA,2.63e-4,NA,0.999737,0.9937818416751416
17,3.15e-4,NA,3.15e-4,NA,0.999685,0.993468800395014
18,3.76e-4,NA,3.76e-4,NA,0.999624,0.9930952561260654
19,4.24e-4,NA,4.24e-4,NA,0.999576,0.992674183737468
20,4.59e-4,NA,4.59e-4,NA,0.999541,0.9922185462871325
21,4.96e-4,NA,4.96e-4,NA,0.999504,0.991726405888174
22,5.21e-4,NA,5.21e-4,NA,0.999479,0.9912097164307062
23,5.4e-4,NA,5.4e-4,NA,0.99946,0.9906744631838337
24,5.43e-4,NA,5.43e-4,NA,0.999457,0.990136526950325
25,5.45e-4,NA,5.45e-4,NA,0.999455,0.989596902543137
26,5.56e-4,NA,5.56e-4,NA,0.999444,0.989046686665323
27,4.99706017914634e-4,6.82939820853662e-5,5.68e-4,4.99023922282464e-4,0.9995002939820854,0.9885524540839978
28,5.14776635000005e-4,6.82233649999949e-5,5.83e-4,5.14074694166653e-4,0.999485223365,0.9880435703781635
29,5.26825883405631e-4,7.21741165943694e-5,5.99e-4,5.26065940740393e-4,0.9994731741165944,0.9875230434513558
30,5.44596063862824e-4,7.44039361371756e-5,6.19e-4,5.43786234614366e-4,0.9994554039361372,0.9869852422889184
31,5.74813294820399e-4,7.51867051796008e-5,6.5e-4,5.73949545581503e-4,0.9994251867051795,0.9864179100498591
32,6.07658022795379e-4,7.93419772046205e-5,6.87e-4,6.06694493476263e-4,0.9993923419772046,0.9858185052929883
33,6.38506706859331e-4,8.44932931406686e-5,7.23e-4,6.37428581824343e-4,0.9993614932931407,0.9851890535656127
34,6.79435982202243e-4,8.95640177977571e-5,7.69e-4,6.78219956863643e-4,0.9993205640177978,0.9845196806733485
35,7.24171298833211e-4,9.28287011667888e-5,8.17e-4,7.22828006209292e-4,0.9992758287011668,0.9838067197774685
36,7.76579358560494e-4,9.64206414395064e-5,8.73e-4,7.75083163933835e-4,0.9992234206414395,0.9830427157860763
37,8.45032152368991e-4,1.04967847631009e-4,9.5e-4,8.43259896178258e-4,0.999154967847631,0.9822120130840849
38,9.27139772415167e-4,1.11860227584833e-4,0.001039,9.25067773813593e-4,0.9990728602275848,0.9813013652618107
